action_code,relation_code,event_type_code
SIGN_UP_AS_PLAYER,PUBLIC,
SIGN_UP_AS_COACH,PUBLIC,
SIGN_UP_AS_ORGANIZER,PUBLIC,
SIGN_UP_PLAYER_AS_GUARDIAN,ANY_SIGNED_IN,
SIGN_UP_AS_REFEREE_REQUEST,PUBLIC,
APPROVE_REFEREE,PLATFORM_ADMIN,
CREATE_USER_ACCOUNT,PLATFORM_ADMIN,
INVITE_CO_ORGANIZER,OWNER,
INVITE_CO_ORGANIZER,PLATFORM_ADMIN,
ACCEPT_CO_ORGANIZER_INVITE,ANY_SIGNED_IN,
FOLLOW_PLAYER,ANY_SIGNED_IN,
FOLLOW_TEAM,ANY_SIGNED_IN,
FOLLOW_EVENT,ANY_SIGNED_IN,
UNFOLLOW_PLAYER,FOLLOWER_PLAYER,
UNFOLLOW_PLAYER,PLATFORM_ADMIN,
UNFOLLOW_TEAM,FOLLOWER_TEAM,
UNFOLLOW_TEAM,PLATFORM_ADMIN,
UNFOLLOW_EVENT,FOLLOWER_EVENT,
UNFOLLOW_EVENT,PLATFORM_ADMIN,
RECEIVE_PLAYER_NOTIFICATIONS,FOLLOWER_PLAYER,
RECEIVE_PLAYER_NOTIFICATIONS,GUARDIAN,
RECEIVE_PLAYER_NOTIFICATIONS,SELF,
RECEIVE_TEAM_NOTIFICATIONS,FOLLOWER_TEAM,
RECEIVE_TEAM_NOTIFICATIONS,HEAD_COACH,
RECEIVE_TEAM_NOTIFICATIONS,ASSISTANT_COACH,
RECEIVE_TEAM_NOTIFICATIONS,TEAM_MANAGER,
RECEIVE_TEAM_NOTIFICATIONS,TEAM_PLAYER,
RECEIVE_EVENT_NOTIFICATIONS,FOLLOWER_EVENT,
RECEIVE_EVENT_NOTIFICATIONS,OWNER,
RECEIVE_EVENT_NOTIFICATIONS,CO_ORGANIZER,
MANAGE_OWN_NOTIFICATION_CHANNELS,ANY_SIGNED_IN,
MANAGE_OWN_NOTIFICATION_PREFERENCES,ANY_SIGNED_IN,
VIEW_ACCESS_MATRIX,PUBLIC,
VIEW_OWN_PERMISSIONS,ANY_SIGNED_IN,
EDIT_POLICY,PLATFORM_ADMIN,
DELETE_POLICY,PLATFORM_ADMIN,
